spref_name,ncaa_name,espn_name,conference,primary_color,secondary_color,tertiary_color,color_4,color_5,color_6
Air Force,Air Force,Air Force,MWC,#003087,#8A8D8F,#B1B3B3,#FFC72C,#000000,
Akron,Akron,Akron,MAC,#041E42,#A89968,,,,
Alabama,Alabama,Alabama,SEC,#9E1B32,#828A8F,#FFFFFF,,,
Albany,Albany (NY),Albany,Am. East,#461660,#EEB211,,,,
Appalachian St.,Appalachian St.,Appalachian St,Sunbelt,#222222,#FFCC00,,,,
Arizona,Arizona,Arizona,Pac 12,#CC0033,#003366,,,,
Arizona St.,Arizona St.,Arizona State,Pac 12,#8C1D40,#FFC627,,,,
Arkansas,Arkansas,Arkansas,SEC,#9D2235,#FFFFFF,,,,
Arkansas St.,Arkansas St.,Arkansas State,Sunbelt,#CC092F,#000000,,,,
Auburn,Auburn,Auburn,SEC,#0C2340,#E87722,,,,
Ball St.,Ball St.,Ball State,MAC,#BA0C2F,#000000,,,,
Baylor,Baylor,Baylor,Big 12,#003015,#FECB00,,,,
Binghamton,Binghamton,Binghamton,Am. East,#005A43,#169B62,#BF0D3E,#B1B3B3,,
Boise St.,Boise St.,Boise State,MWC,#D64309,#0033A0,,,,
Boston College,Boston College,Boston College,ACC,#98002E,#BC9B6A,,,,
Bowling Green,Bowling Green,Bowling Green,MAC,#FE5000,#4F2C1D,#CDA077,#000000,,
Bradley,Bradley,Bradley,MVC,#A50000,#999999,,,,
Brown,Brown,Brown,Ivy,#4E3629,#7C2529,#E4002B,#000000,,
Buffalo,Buffalo,Buffalo,MAC,#005BBB,#FFFFFF,,,,
Butler,Butler,Butler,Big East,#13294B,#747678,#D1E0D7,#000000,,
BYU,BYU,BYU,WCC,#002255,#C5AF7D,,,,
Cal Poly,Cal Poly,Cal Poly,Big West,#003831,#FFE395,#B38F4F,#000000,,
Cal St. Fullerton,Cal St. Fullerton,CSU Fullerton,Big West,#00274C,#DC8218,,,,
California,California,Cal,Pac 12,#003262,#3B7EA1,#FDB515,#C4820E,,
Canisius,Canisius,Canisius,MAAC,#0C2340,#FFBA00,,,,
Central Mich.,Central Mich.,Cent Michigan,MAC,#6A0032,#FFC82E,,,,
Charlotte,Charlotte,Charlotte,C-USA,#046A38,#B9975B,#27251F,,,
Chicago St.,Chicago St.,Chicago State,WAC,#006666,#000000,,,,
Cincinnati,Cincinnati,Cincinnati,AAC,#E00122,#000000,,,,
Clemson,Clemson,Clemson,ACC,#F56600,#522D80,,,,
Cleveland St.,Cleveland St.,Cleveland State,Horizon,#006747,#000000,,,,
Coastal Caro.,Coastal Caro.,C. Carolina,Sunbelt,#006F71,#A27752,#111111,,,
Colorado,Colorado,Colorado,Pac 12,#CFB87C,#000000,#565A5C,#A2A4A3,#4B92DB,
Colorado St.,Colorado St.,Colorado State,MWC,#1E4D2B,#C8C372,,,,
Columbia,Columbia,Columbia,Ivy,#003865,#9BCBEB,,,,
Cornell,Cornell,Cornell,Ivy,#B31B1B,#5E3920,#89572E,#000000,,
Creighton,Creighton,Creighton,Big East,#005CA9,#00235D,#6CADDE,#828282,#C8C8C8,#8A8D8F
CSU Bakersfield,CSU Bakersfield,CSU Bakersfield,WAC,#005DAA,#FFD200,,,,
CSUN,CSUN,CSU Northridge,Big West,#CE1126,#D1CEC6,#000000,,,
Dartmouth,Dartmouth,Dartmouth,Ivy,#046A38,#000000,,,,
Davidson,Davidson,Davidson,A-10,#AC1A2F,#000000,,,,
Dayton,Dayton,Dayton,A-10,#CE1141,#004B8D,#F80228,#0200D1,,
Denver,Denver,Denver,Summit,#8B2332,#8B6F4B,,,,
DePaul,DePaul,DePaul,Big East,#005EB8,#E4002B,,,,
Detroit Mercy,Detroit Mercy,Detroit Mercy,Horizon,#A6093D,#002D72,#D7D2CB,,,
Drake,Drake,Drake,MVC,#004477,#999999,,,,
Duke,Duke,Duke,ACC,#001A57,#003366,#0736A4,#235F9C,,
Duquesne,Duquesne,Duquesne,A-10,#041E42,#BA0C2F,#000000,,,
East Carolina,East Carolina,ECU,AAC,#592A8A,#FDC82F,,,,
Eastern Mich.,Eastern Mich.,E Michigan,MAC,#006633,#000000,,,,
Eastern Wash.,Eastern Wash.,E Washington,Big Sky,#A10022,#FFFFFF,#6D6E71,,,
Evansville,Evansville,Evansville,MVC,#52237F,#F36F21,,,,
Fairfield,Fairfield,Fairfield,MAAC,#C8102E,#A2AAAD,#000000,,,
FGCU,FGCU,FGCU,A-Sun,#002D72,#007749,#B9975B,,,
Florida Intl,FIU,FIU,C-USA,#081E3F,#B6862C,,,,
Fla. Atlantic,Fla. Atlantic,FAU,C-USA,#003366,#CC0000,#8A8D8F,#CCCCCC,,
Florida,Florida,Florida,SEC,#0021A5,#FA4616,,,,
Florida St.,Florida St.,Florida State,ACC,#782F40,#CEB888,#FFFFFF,#000000,,
Fordham,Fordham,Fordham,A-10,#860038,#FFFFFF,,,,
Fresno St.,Fresno St.,Fresno State,MWC,#DB0032,#002E6D,#007934,,,
Ga. Southern,Ga. Southern,Ga Southern,Sunbelt,#011E41,#A3AAAE,#87714D,,,
George Mason,George Mason,George Mason,A-10,#006633,#FFCC33,#000000,,,
George Washington,George Washington,G Washington,A-10,#E2CB92,#002654,,,,
Georgetown,Georgetown,Georgetown,Big East,#041E42,#8D817B,,,,
Georgia,Georgia,Georgia,SEC,#BA0C2F,#000000,#FFFFFF,,,
Georgia St.,Georgia St.,Georgia State,Sunbelt,#0039A6,#C60C30,#000000,,,
Georgia Tech,Georgia Tech,Georgia Tech,ACC,#B3A369,#A28D5B,#003057,,,
Gonzaga,Gonzaga,Gonzaga,WCC,#041E42,#C8102E,#C1C6C8,,,
Grand Canyon,Grand Canyon,Grand Canyon,WAC,#522398,#000000,,,,
Green Bay,Green Bay,Green Bay,Horizon,#006747,#9D2235,#8A8D8F,,,
Hartford,Hartford,Hartford,Am. East,#C02427,#0F0708,,,,
Harvard,Harvard,Harvard,Ivy,#A41034,#000000,#808285,#B6B6B6,,
Hawaii,Hawaii,Hawai'i,Big West,#024731,#C8C8C8,#000000,,,
Houston,Houston,Houston,AAC,#C8102E,#76232F,#B2B4B2,,,
Idaho,Idaho,Idaho,Big Sky,#EAAB00,#86754D,#808080,#000000,,
Idaho State,Idaho St.,Idaho State,Big Sky,#000000,#F9A81A,,,,
Illinois,Illinois,Illinois,Big 10,#13294B,#E84A27,,,,
Illinois State,Illinois St.,Illinois State,MVC,#CE1126,#F9DD16,#000000,,,
Indiana,Indiana,Indiana,Big 10,#990000,#EEEDEB,,,,
Indiana State,Indiana St.,Indiana State,MVC,#0142BC,#FFFFFF,,,,
Iona,Iona,Iona,MAAC,#6F2C3F,#F2A900,,,,
Iowa,Iowa,Iowa,Big 10,#FFCD00,#000000,,,,
Iowa St.,Iowa St.,Iowa State,Big 12,#C8102E,#F1BE48,,,,
IUPUI,IUPUI,IUPUI,Horizon,#9D2235,#DFD1A7,#000000,,,
Jacksonville State,Jacksonville St.,Jacksonville St,OVC,#004E44,#898A8D,#BBBBBB,#000000,,
Kansas,Kansas,Kansas,Big 12,#0051BA,#E8000D,#FFC82D,#85898A,,
Kansas St.,Kansas St.,Kansas State,Big 12,#512888,#D1D1D1,#A7A7A7,#FFFFFF,#000000,
Kennesaw State,Kennesaw St.,Kennesaw State,A-Sun,#FDBB30,#0B1315,#C5C6C8,,,
Kent State,Kent St.,Kent State,MAC,#002664,#EAAB00,,,,
Kentucky,Kentucky,Kentucky,SEC,#0033A0,#FFFFFF,#000000,,,
La Salle,La Salle,La Salle,A-10,#FFCC00,#003366,,,,
La.-Monroe,La.-Monroe,UL Monroe,Sunbelt,#800029,#BD955A,#646469,#DAD86D,,
Lipscomb,Lipscomb,Lipscomb,A-Sun,#331E54,#F4AA00,#000000,,,
Little Rock,Little Rock,Little Rock,Sunbelt,#6E2639,#A7A9AC,,,,
Long Beach St.,Long Beach St.,Long Beach St,Big West,#FFC72A,#000000,,,,
Louisiana,Louisiana,Louisiana,Sunbelt,#CE181E,#0A0203,#C1C5C9,#F18C21,,
Louisiana Tech,Louisiana Tech,LA Tech,C-USA,#E31B23,#A2AAAD,#111111,,,
Louisville,Louisville,Louisville,ACC,#AD0000,#000000,#FDB913,#CCCCCC,,
Loyola Chicago,Loyola Chicago,Loyola-Chicago,MVC,#922247,#FEBD18,,,,
Loyola Marymount,Loyola Marymount,Loyola Mary,WCC,#B62B3A,#00447C,#617080,#231F20,,
LSU,LSU,LSU,SEC,#461D7C,#FDD023,,,,
Maine,Maine,Maine,Am. East,#003263,#B0D7FF,#AB0634,#908C89,#000000,
Manhattan,Manhattan,Manhattan,MAAC,#00703C,#FFFFFF,,,,
Marist,Marist,Marist,MAAC,#C8102E,#B2B2B2,#000000,,,
Marquette,Marquette,Marquette,Big East,#003366,#FFCC00,,,,
Marshall,Marshall,Marshall,C-USA,#00B140,#A2AAAD,#693F23,#AD7C59,#27251F,
Maryland,Maryland,Maryland,Big 10,#E03A3E,#FFD520,#FFFFFF,#000000,,
Massachusetts,Massachusetts,UMass,A-10,#971B2F,#572932,#B1B3B3,#000000,,
Memphis,Memphis,Memphis,AAC,#003087,#898D8D,,,,
Miami (FL),Miami (FL),Miami,ACC,#F47321,#005030,#FFFFFF,,,
Miami (OH),Miami (OH),Miami (OH),MAC,#B61E2E,#000000,,,,
Michigan,Michigan,Michigan,Big 10,#00274C,#FFCB05,,,,
Michigan St.,Michigan St.,Michigan State,Big 10,#18453B,#FFFFFF,,,,
Middle Tenn.,Middle Tenn.,Mid Tennessee,C-USA,#0066CC,#69B3E7,,,,
Milwaukee,Milwaukee,Milwaukee,Horizon,#FFBD00,#CCCCCC,,,,
Minnesota,Minnesota,Minnesota,Big 10,#7A0019,#FFCC33,,,,
Mississippi St.,Mississippi St.,Miss St,SEC,#660000,#FFFFFF,#CCCCCC,#75787B,,
Missouri,Missouri,Missouri,SEC,#000000,#F1B82D,,,,
Missouri State,Missouri St.,Missouri State,MVC,#5E0009,#000000,,,,
Monmouth,Monmouth,Monmouth,MAAC,#041E42,#53565A,,,,
Montana,Montana,Montana,Big Sky,#999999,#999999,,,,
Montana State,Montana St.,Montana State,Big Sky,#B9975B,#B9975B,,,,
Navy,Navy,Navy,Patriot,#00205B,#C5B783,,,,
NC State,NC State,NC State,ACC,#CC0000,#000000,#FFFFFF,,,
Nebraska,Nebraska,Nebraska,Big 10,#E41C38,#FDF2D9,#000000,,,
Nevada,Nevada,Nevada,MWC,#003366,#807F84,,,,
New Hampshire,New Hampshire,UNH,Am. East,#041E42,#BBBCBC,,,,
New Mexico,New Mexico,New Mexico,MWC,#BA0C2F,#A7A8AA,#63666A,#007A86,#000000,
New Mexico State,New Mexico St.,New Mexico St,WAC,#861F41,#97999B,#000000,,,
Niagara,Niagara,Niagara,MAAC,#582C83,#FFFFFF,,,,
NJIT,NJIT,NJIT,A-Sun,#D22630,#071D49,#C1C6C8,,,
North Ala.,North Ala.,North Alabama,A-Sun,#46166B,#DB9F11,#5F6062,,,
North Carolina,North Carolina,UNC,ACC,#7BAFD4,#FFFFFF,#13294B,#000000,#8D9092,#A2AAAD
North Dakota State,North Dakota St.,North Dakota St,Summit,#0A5640,#FFC72A,,,,
North Florida,North Florida,North Florida,A-Sun,#00246B,#D9D9D9,,,,
North Texas,North Texas,North Texas,C-USA,#00853E,#000000,,,,
Northern Ariz.,Northern Ariz.,N Arizona,Big Sky,#FFD200,#FBB040,,,,
Northern Colo.,Northern Colo.,N Colorado,Big Sky,#F6B000,#F6B000,,,,
Northern Ill.,Northern Ill.,N Illinois,MAC,#BA0C2F,#8A8D8F,#000000,,,
Northern Ky.,Northern Ky.,N Kentucky,Horizon,#FFC72C,#000000,,,,
Northwestern,Northwestern,Northwestern,Big 10,#4E2A84,#FFFFFF,,,,
Notre Dame,Notre Dame,Notre Dame,ACC,#0C2340,#C99700,#AE9142,#00843D,,
Oakland,Oakland,Oakland,Horizon,#B59A57,#000000,,,,
Ohio,Ohio,Ohio,MAC,#00694E,#CDA077,,,,
Ohio St.,Ohio St.,Ohio State,Big 10,#BB0000,#666666,,,,
Oklahoma,Oklahoma,Oklahoma,Big 12,#841617,#FDF9D8,,,,
Oklahoma St.,Oklahoma St.,Oklahoma State,Big 12,#FF7300,#FF9900,#BEBEBE,#000000,,
Old Dominion,Old Dominion,Old Dominion,C-USA,#003057,#92C1E9,,,,
Ole Miss,Ole Miss,Ole Miss,SEC,#CE1126,#14213D,#FFFFFF,,,
Omaha,Omaha,Omaha,Summit,#000000,#D71920,#636568,,,
Oral Roberts,Oral Roberts,Oral Roberts,Summit,#002F60,#C5B783,#A28E2A,,,
Oregon,Oregon,Oregon,Pac 12,#154733,#FEE123,,,,
Oregon St.,Oregon St.,Oregon State,Pac 12,#DC4405,#000000,#FFFFFF,,,
Pacific,Pacific,Pacific,WCC,#E35205,#231F20,#D86018,#949A90,,
Penn,Penn,Penn,Ivy,#990000,#011F5B,,,,
Penn State,Penn St.,Penn State,Big 10,#093162,#FFFFFF,,,,
Pepperdine,Pepperdine,Pepperdine,WCC,#00205C,#EE7624,,,,
Pittsburgh,Pittsburgh,Pitt,ACC,#1C2957,#CDB87D,,,,
Portland,Portland,Portland,WCC,#1E1656,#5E6A71,,,,
Portland State,Portland St.,Portland State,Big Sky,#154734,#FFFFFF,#373A36,#2C2A29,,
Princeton,Princeton,Princeton,Ivy,#FF671F,#000000,,,,
Providence,Providence,Providence,Big East,#000000,#8A8D8F,#FFFFFF,,,
Purdue,Purdue,Purdue,Big 10,#CEB888,#000000,#9D968D,#373A36,,
Purdue Fort Wayne,Purdue Fort Wayne,Fort Wayne,Summit,#002F6C,#000000,#63666A,#97999B,#BBBCBC,
Rhode Island,Rhode Island,URI,A-10,#68ABE8,#002147,,,,
Rice,Rice,Rice,C-USA,#00205B,#C1C6C8,,,,
Richmond,Richmond,Richmond,A-10,#000066,#990000,,,,
Rider,Rider,Rider,MAAC,#981E32,#6C6F70,,,,
Rutgers,Rutgers,Rutgers,Big 10,#CC0033,#5F6A72,#000000,,,
Sacramento State,Sacramento St.,Sacramento St,Big Sky,#043927,#C4B581,,,,
Saint Joseph's,Saint Joseph's,Saint Joe's,A-10,#9E1B32,#6C6F70,,,,
Saint Louis,Saint Louis,Saint Louis,A-10,#003DA5,#C8C9C7,,,,
Saint Mary's (CA),Saint Mary's (CA),Saint Mary's,WCC,#D80024,#06315B,,,,
Saint Peter's,Saint Peter's,St Peter's,MAAC,#003C71,#0072CE,#A59C94,#000000,,
San Diego,San Diego,San Diego,WCC,#002868,#84BCE8,#207BC1,,,
San Diego St.,San Diego St.,San Diego State,MWC,#A6192E,#000000,#FFFFFF,,,
San Francisco,San Francisco,San Francisco,WCC,#FDBB30,#00543C,#919194,,,
San Jose St.,San Jose St.,San Jose State,MWC,#0055A2,#E5A823,#939597,,,
Santa Clara,Santa Clara,Santa Clara,WCC,#862633,#FFFFFF,,,,
Seattle U,Seattle U,Seattle,WAC,#AA0000,#333333,,,,
Seton Hall,Seton Hall,Seton Hall,Big East,#004488,#A2AAAD,,,,
Siena,Siena,Siena,MAAC,#FFC72C,#C8102E,#006747,#693F23,,
South Alabama,South Alabama,South Alabama,Sunbelt,#00205B,#BF0D3E,,,,
South Carolina,South Carolina,South Carolina,SEC,#73000A,#000000,,,,
South Dakota,South Dakota,South Dakota,Summit,#AD0000,#B4B4B4,#000000,,,
South Dakota State,South Dakota St.,South Dakota St,Summit,#0033A0,#FFD100,,,,
South Fla.,South Fla.,USF,AAC,#006747,#CFC493,,,,
